"date","number","category","rank","songId"
"2025-04-20","9","national","1","portuculpa-2f7567505f"
"2025-04-20","9","national","2","asicomoyo-0146c89ab8"
"2025-04-20","9","national","3","orgullo-b3c9292d7e"
"2025-04-20","9","national","4","bonita-1fa820b1b1"
"2025-04-20","9","national","5","yojala-0d25f869e9"
"2025-04-20","9","national","6","unclasico-b17f0c89df"
"2025-04-20","9","national","7","tactoquellegoelreparto-4a3c7212e1"
"2025-04-20","9","national","8","todoelmundobailando-c00363a787"
"2025-04-20","9","national","9","yaloves-2c4b523d6d"
"2025-04-20","9","national","10","novolvere-e0a0da09f5"
"2025-04-20","9","international","1","dondeestabas-fdb3c1f87c"
"2025-04-20","9","international","2","cosaspendientes-19b5711dc3"
"2025-04-20","9","international","3","apt-aa4359c93f"
"2025-04-20","9","international","4","paquevolviste-a615566d6e"
"2025-04-20","9","international","5","abracadabra-bb79c22368"
"2025-04-20","9","international","6","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-04-20","9","international","7","caritatriste-b08e70e7e1"
"2025-04-20","9","international","8","elcielo-6db5846b8d"
"2025-04-20","9","international","9","volver-d3eaababf5"
"2025-04-20","9","international","10","efimero-228d78e0fc"
