"date","number","category","rank","songId"
"2025-07-13","15","national","1","tactoquellegoelreparto-4a3c7212e1"
"2025-07-13","15","national","2","unclasico-b17f0c89df"
"2025-07-13","15","national","3","yaloves-2c4b523d6d"
"2025-07-13","15","national","4","quehago-96015e81a0"
"2025-07-13","15","national","5","orgullo-b3c9292d7e"
"2025-07-13","15","national","6","quetevayabien-64c66e3ede"
"2025-07-13","15","national","7","amante-738a8171be"
"2025-07-13","15","national","8","nosvamos-ec606a101a"
"2025-07-13","15","national","9","bonita-1fa820b1b1"
"2025-07-13","15","national","10","novolvere-e0a0da09f5"
"2025-07-13","15","international","1","abracadabra-bb79c22368"
"2025-07-13","15","international","2","cosaspendientes-19b5711dc3"
"2025-07-13","15","international","3","elcielo-6db5846b8d"
"2025-07-13","15","international","4","volver-d3eaababf5"
"2025-07-13","15","international","5","enprivado-5ab8bfd761"
"2025-07-13","15","international","6","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-07-13","15","international","7","diamante-0ccb388dbf"
"2025-07-13","15","international","8","memuevo-81b30013f0"
"2025-07-13","15","international","9","senorbendito-2a53bceed4"
"2025-07-13","15","international","10","dondeestabas-fdb3c1f87c"
