"date","number","category","rank","songId"
"2025-03-23","7","national","1","asicomoyo-0146c89ab8"
"2025-03-23","7","national","2","portuculpa-2f7567505f"
"2025-03-23","7","national","3","yojala-0d25f869e9"
"2025-03-23","7","national","4","todoelmundobailando-c00363a787"
"2025-03-23","7","national","5","orgullo-b3c9292d7e"
"2025-03-23","7","national","6","bonita-1fa820b1b1"
"2025-03-23","7","national","7","unclasico-b17f0c89df"
"2025-03-23","7","national","8","yaloves-2c4b523d6d"
"2025-03-23","7","national","9","losbesosquetedi-f1fa430ac3"
"2025-03-23","7","national","10","tactoquellegoelreparto-4a3c7212e1"
"2025-03-23","7","international","1","apt-aa4359c93f"
"2025-03-23","7","international","2","dondeestabas-fdb3c1f87c"
"2025-03-23","7","international","3","caritatriste-b08e70e7e1"
"2025-03-23","7","international","4","cosaspendientes-19b5711dc3"
"2025-03-23","7","international","5","soltera-af2453ae86"
"2025-03-23","7","international","6","paquevolviste-a615566d6e"
"2025-03-23","7","international","7","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-03-23","7","international","8","uwaie-85b324d262"
"2025-03-23","7","international","9","diewithasmile-48d8a6a8fc"
"2025-03-23","7","international","10","elcielo-6db5846b8d"
