"date","number","category","rank","songId"
"2025-02-09","4","national","1","todoelmundobailando-c00363a787"
"2025-02-09","4","national","2","asicomoyo-0146c89ab8"
"2025-02-09","4","national","3","yojala-0d25f869e9"
"2025-02-09","4","national","4","bailandosuave-3b016b3ed0"
"2025-02-09","4","national","5","losbesosquetedi-f1fa430ac3"
"2025-02-09","4","national","6","portuculpa-2f7567505f"
"2025-02-09","4","national","7","orgullo-b3c9292d7e"
"2025-02-09","4","national","8","bonita-1fa820b1b1"
"2025-02-09","4","national","9","catalina-3a0e88846e"
"2025-02-09","4","national","10","unclasico-b17f0c89df"
"2025-02-09","4","international","1","apt-aa4359c93f"
"2025-02-09","4","international","2","caritatriste-b08e70e7e1"
"2025-02-09","4","international","3","soltera-af2453ae86"
"2025-02-09","4","international","4","uwaie-85b324d262"
"2025-02-09","4","international","5","diewithasmile-48d8a6a8fc"
"2025-02-09","4","international","6","dondeestabas-fdb3c1f87c"
"2025-02-09","4","international","7","lifetimes-d3b5643c3f"
"2025-02-09","4","international","8","cosaspendientes-19b5711dc3"
"2025-02-09","4","international","9","necessito-0aa1136034"
"2025-02-09","4","international","10","paquevolviste-a615566d6e"
