"date","number","category","rank","songId"
"2025-10-26","26","national","1","mananateolvido-fd0e38bcef"
"2025-10-26","26","national","2","amante-738a8171be"
"2025-10-26","26","national","3","patodalavida-b83f9a5b3b"
"2025-10-26","26","national","4","quehago-96015e81a0"
"2025-10-26","26","national","5","quetevayabien-64c66e3ede"
"2025-10-26","26","national","6","vibras-f5616bb528"
"2025-10-26","26","national","7","quebola-af45a41f47"
"2025-10-26","26","national","8","nosvamos-ec606a101a"
"2025-10-26","26","national","9","comonadie-cc168e1b76"
"2025-10-26","26","national","10","morena-080c0333b6"
"2025-10-26","26","international","1","papasito-18c5517d39"
"2025-10-26","26","international","2","quehaces-d7cb3d98d9"
"2025-10-26","26","international","3","notienesentido-7ac99e1f15"
"2025-10-26","26","international","4","sonriele-dc3a5895ca"
"2025-10-26","26","international","5","mirameahora-3075c509d1"
"2025-10-26","26","international","6","luna-3464cc2f4b"
"2025-10-26","26","international","7","quiero-accfe27478"
"2025-10-26","26","international","8","golden-53fc8a5c44"
"2025-10-26","26","international","9","senorbendito-2a53bceed4"
"2025-10-26","26","international","10","hastaquemeenamoro-a9b7755e5c"
