"date","number","category","rank","songId"
"2025-06-15","13","national","1","orgullo-b3c9292d7e"
"2025-06-15","13","national","2","tactoquellegoelreparto-4a3c7212e1"
"2025-06-15","13","national","3","unclasico-b17f0c89df"
"2025-06-15","13","national","4","bonita-1fa820b1b1"
"2025-06-15","13","national","5","yaloves-2c4b523d6d"
"2025-06-15","13","national","6","portuculpa-2f7567505f"
"2025-06-15","13","national","7","quehago-96015e81a0"
"2025-06-15","13","national","8","quetevayabien-64c66e3ede"
"2025-06-15","13","national","9","novolvere-e0a0da09f5"
"2025-06-15","13","national","10","nosvamos-ec606a101a"
"2025-06-15","13","international","1","cosaspendientes-19b5711dc3"
"2025-06-15","13","international","2","abracadabra-bb79c22368"
"2025-06-15","13","international","3","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-06-15","13","international","4","elcielo-6db5846b8d"
"2025-06-15","13","international","5","volver-d3eaababf5"
"2025-06-15","13","international","6","enprivado-5ab8bfd761"
"2025-06-15","13","international","7","dondeestabas-fdb3c1f87c"
"2025-06-15","13","international","8","diamante-0ccb388dbf"
"2025-06-15","13","international","9","paquevolviste-a615566d6e"
"2025-06-15","13","international","10","efimero-228d78e0fc"
