"date","number","category","rank","songId"
"2025-06-01","12","national","1","orgullo-b3c9292d7e"
"2025-06-01","12","national","2","portuculpa-2f7567505f"
"2025-06-01","12","national","3","tactoquellegoelreparto-4a3c7212e1"
"2025-06-01","12","national","4","bonita-1fa820b1b1"
"2025-06-01","12","national","5","unclasico-b17f0c89df"
"2025-06-01","12","national","6","yaloves-2c4b523d6d"
"2025-06-01","12","national","7","novolvere-e0a0da09f5"
"2025-06-01","12","national","8","quehago-96015e81a0"
"2025-06-01","12","national","9","quetevayabien-64c66e3ede"
"2025-06-01","12","national","10","asicomoyo-0146c89ab8"
"2025-06-01","12","international","1","cosaspendientes-19b5711dc3"
"2025-06-01","12","international","2","abracadabra-bb79c22368"
"2025-06-01","12","international","3","bzrpmusicsessionsvol61-3f2dc8046c"
"2025-06-01","12","international","4","dondeestabas-fdb3c1f87c"
"2025-06-01","12","international","5","elcielo-6db5846b8d"
"2025-06-01","12","international","6","paquevolviste-a615566d6e"
"2025-06-01","12","international","7","volver-d3eaababf5"
"2025-06-01","12","international","8","enprivado-5ab8bfd761"
"2025-06-01","12","international","9","efimero-228d78e0fc"
"2025-06-01","12","international","10","diamante-0ccb388dbf"
