"year","category","rank","songId"
"2024","international","1","vocation-a1301068d1"
"2024","international","2","punteria-1ef0e937a3"
"2024","international","3","siantestehubieraconocido-a684e71094"
"2024","international","4","espresso-850bade631"
"2024","international","5","contigo-0937d7804b"
"2024","international","6","illusion-b2810a35a4"
"2024","international","7","fortnightcyrilremix-227943921e"
"2024","international","8","puntacana-27ce381bef"
"2024","international","9","lifetimes-d3b5643c3f"
"2024","international","10","beautifulthings-76867bed2c"
"2024","international","11","houdini-41ab2783fc"
"2024","international","12","yesand-a3e85abb02"
"2024","international","13","ohnana-e092d936f3"
"2024","international","14","bonita-7e06d87ca1"
"2024","international","15","aleale-0b7563c0ba"
"2024","international","16","luna-3eac47e0df"
"2024","international","17","desire-b900629306"
"2024","international","18","salvame-5fdc541db8"
"2024","international","19","touchingthesky-93fc355bcf"
"2024","international","20","plis-f1de299425"
"2024","national","1","catalina-3a0e88846e"
"2024","national","2","silencioremix-df7b7a94c2"
"2024","national","3","lavidaesbuena-e8b327aa2c"
"2024","national","4","noteinstales-0c505ecf21"
"2024","national","5","elamorqueespere-86e71a5cbb"
"2024","national","6","unacopiademi-874f23c606"
"2024","national","7","tedigoadioscumbia-7a0cc06fea"
"2024","national","8","losbesosquetedi-f1fa430ac3"
"2024","national","9","fuerafuera-7146038232"
"2024","national","10","modovanvan-c3ec2d04af"
"2024","national","11","elwhatsapp-7a05174f95"
"2024","national","12","lalampara-19a4848639"
"2024","national","13","cupr-151fc14e7f"
"2024","national","14","dilealamor-563b60e9a8"
"2024","national","15","lavidabailando-82797dc147"
"2024","national","16","lapersonacorrecta-8daadc1bc1"
"2024","national","17","nuncateolvidare-442ab8b88b"
"2024","national","18","quevivaelamor-2a6642efed"
"2024","national","19","salsakuduro-c13ddcca85"
"2024","national","20","blablabla-b04f4e20be"
