"date","number","category","rank","songId"
"2024-02-11","5","international","5","desire-b900629306"
"2024-02-11","5","international","6","miexteniarazon-e14de01b6e"
"2024-02-11","5","international","7","miamor-75e80a9d85"
"2024-02-11","5","international","8","yanoteextrano-d54e16679f"
"2024-02-11","5","international","9","asieslavida-512b6e244f"
"2024-02-11","5","international","10","cantgetenough-871400f78e"
"2024-02-18","6","national","1","unacopiademi-874f23c606"
"2024-02-18","6","national","2","modovanvan-c3ec2d04af"
"2024-02-18","6","national","3","salsakuduro-c13ddcca85"
"2024-02-18","6","national","4","lavidaesbuena-e8b327aa2c"
"2024-02-18","6","national","5","cupr-151fc14e7f"
"2024-02-18","6","national","6","nuncateolvidare-442ab8b88b"
"2024-02-18","6","national","7","tedigoadioscumbia-7a0cc06fea"
"2024-02-18","6","national","8","angelodemonio-1ba583ac9c"
"2024-02-18","6","national","9","dilealamor-563b60e9a8"
"2024-02-18","6","national","10","muertofritoyderretido-2b8c5876c2"
"2024-02-18","6","international","1","vocation-a1301068d1"
"2024-02-18","6","international","2","yesand-a3e85abb02"
"2024-02-18","6","international","3","houdini-41ab2783fc"
"2024-02-18","6","international","4","bonita-7e06d87ca1"
"2024-02-18","6","international","5","desire-b900629306"
"2024-02-18","6","international","6","cantgetenough-871400f78e"
"2024-02-18","6","international","7","miamor-75e80a9d85"
"2024-02-18","6","international","8","yanoteextrano-d54e16679f"
"2024-02-18","6","international","9","asieslavida-512b6e244f"
"2024-02-18","6","international","10","miexteniarazon-e14de01b6e"
"2024-02-25","7","national","1","unacopiademi-874f23c606"
"2024-02-25","7","national","2","modovanvan-c3ec2d04af"
"2024-02-25","7","national","3","lavidaesbuena-e8b327aa2c"
"2024-02-25","7","national","4","tedigoadioscumbia-7a0cc06fea"
"2024-02-25","7","national","5","nuncateolvidare-442ab8b88b"
"2024-02-25","7","national","6","angelodemonio-1ba583ac9c"
"2024-02-25","7","national","7","salsakuduro-c13ddcca85"
"2024-02-25","7","national","8","dilealamor-563b60e9a8"
"2024-02-25","7","national","9","mimeneo-96115b3c28"
"2024-02-25","7","national","10","lachicadelescenario-2180b97d75"
"2024-02-25","7","international","1","vocation-a1301068d1"
"2024-02-25","7","international","2","yesand-a3e85abb02"
"2024-02-25","7","international","3","desire-b900629306"
"2024-02-25","7","international","4","bonita-7e06d87ca1"
"2024-02-25","7","international","5","houdini-41ab2783fc"
"2024-02-25","7","international","6","cantgetenough-871400f78e"
"2024-02-25","7","international","7","himalaya-b76fb5502f"
"2024-02-25","7","international","8","asieslavida-512b6e244f"
"2024-02-25","7","international","9","puntacana-27ce381bef"
"2024-02-25","7","international","10","contigo-0937d7804b"
"2024-03-03","8","national","1","modovanvan-c3ec2d04af"
"2024-03-03","8","national","2","lavidaesbuena-e8b327aa2c"
"2024-03-03","8","national","3","unacopiademi-874f23c606"
"2024-03-03","8","national","4","tedigoadioscumbia-7a0cc06fea"
"2024-03-03","8","national","5","mimeneo-96115b3c28"
"2024-03-03","8","national","6","dilealamor-563b60e9a8"
"2024-03-03","8","national","7","lachicadelescenario-2180b97d75"
"2024-03-03","8","national","8","nuncateolvidare-442ab8b88b"
"2024-03-03","8","national","9","losbesosquetedi-f1fa430ac3"
"2024-03-03","8","national","10","salsakuduro-c13ddcca85"
"2024-03-03","8","international","1","vocation-a1301068d1"
"2024-03-03","8","international","2","desire-b900629306"
"2024-03-03","8","international","3","yesand-a3e85abb02"
"2024-03-03","8","international","4","puntacana-27ce381bef"
"2024-03-03","8","international","5","plis-f1de299425"
"2024-03-03","8","international","6","cantgetenough-871400f78e"
"2024-03-03","8","international","7","contigo-0937d7804b"
"2024-03-03","8","international","8","asieslavida-512b6e244f"
"2024-03-03","8","international","9","houdini-41ab2783fc"
"2024-03-03","8","international","10","bonita-7e06d87ca1"
"2024-03-10","9","national","1","modovanvan-c3ec2d04af"
"2024-03-10","9","national","2","lavidaesbuena-e8b327aa2c"
"2024-03-10","9","national","3","tedigoadioscumbia-7a0cc06fea"
"2024-03-10","9","national","4","unacopiademi-874f23c606"
"2024-03-10","9","national","5","dilealamor-563b60e9a8"
"2024-03-10","9","national","6","mimeneo-96115b3c28"
"2024-03-10","9","national","7","lachicadelescenario-2180b97d75"
"2024-03-10","9","national","8","losbesosquetedi-f1fa430ac3"
"2024-03-10","9","national","9","bailandoconlosvanvan-5976ae4159"
"2024-03-10","9","national","10","nuncateolvidare-442ab8b88b"
"2024-03-10","9","international","1","vocation-a1301068d1"
"2024-03-10","9","international","2","contigo-0937d7804b"
"2024-03-10","9","international","3","puntacana-27ce381bef"
"2024-03-10","9","international","4","yesand-a3e85abb02"
"2024-03-10","9","international","5","plis-f1de299425"
"2024-03-10","9","international","6","desire-b900629306"
"2024-03-10","9","international","7","otranochemas-c3b92c54c5"
"2024-03-10","9","international","8","cantgetenough-871400f78e"
"2024-03-10","9","international","9","asieslavida-512b6e244f"
"2024-03-10","9","international","10","houdini-41ab2783fc"
"2024-03-17","10","national","1","lavidaesbuena-e8b327aa2c"
"2024-03-17","10","national","2","tedigoadioscumbia-7a0cc06fea"
"2024-03-17","10","national","3","modovanvan-c3ec2d04af"
"2024-03-17","10","national","4","dilealamor-563b60e9a8"
"2024-03-17","10","national","5","mimeneo-96115b3c28"
"2024-03-17","10","national","6","unacopiademi-874f23c606"
"2024-03-17","10","national","7","lachicadelescenario-2180b97d75"
"2024-03-17","10","national","8","losbesosquetedi-f1fa430ac3"
"2024-03-17","10","national","9","bailandoconlosvanvan-5976ae4159"
"2024-03-17","10","national","10","tetengoensalsa-8f35b2cfb9"
"2024-03-17","10","international","1","contigo-0937d7804b"
"2024-03-17","10","international","2","puntacana-27ce381bef"
"2024-03-17","10","international","3","vocation-a1301068d1"
"2024-03-17","10","international","4","plis-f1de299425"
"2024-03-17","10","international","5","otranochemas-c3b92c54c5"
"2024-03-17","10","international","6","desire-b900629306"
"2024-03-17","10","international","7","yesand-a3e85abb02"
"2024-03-17","10","international","8","cantgetenough-871400f78e"
"2024-03-17","10","international","9","asieslavida-512b6e244f"
"2024-03-17","10","international","10","houdini-41ab2783fc"
"2024-03-24","11","national","1","lavidaesbuena-e8b327aa2c"
"2024-03-24","11","national","2","tedigoadioscumbia-7a0cc06fea"
"2024-03-24","11","national","3","modovanvan-c3ec2d04af"
"2024-03-24","11","national","4","dilealamor-563b60e9a8"
"2024-03-24","11","national","5","losbesosquetedi-f1fa430ac3"
"2024-03-24","11","national","6","unacopiademi-874f23c606"
"2024-03-24","11","national","7","lachicadelescenario-2180b97d75"
"2024-03-24","11","national","8","fueculpadeusted-94bf8fc961"
"2024-03-24","11","national","9","bailandoconlosvanvan-5976ae4159"
"2024-03-24","11","national","10","lamanodeorula-d113d28c2e"
"2024-03-24","11","international","1","puntacana-27ce381bef"
"2024-03-24","11","international","2","contigo-0937d7804b"
"2024-03-24","11","international","3","vocation-a1301068d1"
"2024-03-24","11","international","4","plis-f1de299425"
"2024-03-24","11","international","5","otranochemas-c3b92c54c5"
"2024-03-24","11","international","6","lafuerte-97999605bd"
"2024-03-24","11","international","7","trainingseason-80ba3e9377"
"2024-03-24","11","international","8","yesand-a3e85abb02"
"2024-03-24","11","international","9","cantgetenough-871400f78e"
"2024-03-24","11","international","10","whatever-32f8c484a3"
"2024-03-31","12","national","1","lavidaesbuena-e8b327aa2c"
"2024-03-31","12","national","2","tedigoadioscumbia-7a0cc06fea"
"2024-03-31","12","national","3","modovanvan-c3ec2d04af"
"2024-03-31","12","national","4","dilealamor-563b60e9a8"
"2024-03-31","12","national","5","losbesosquetedi-f1fa430ac3"
"2024-03-31","12","national","6","unacopiademi-874f23c606"
"2024-03-31","12","national","7","lachicadelescenario-2180b97d75"
"2024-03-31","12","national","8","fueculpadeusted-94bf8fc961"
"2024-03-31","12","national","9","lamanodeorula-d113d28c2e"
"2024-03-31","12","national","10","blablabla-b04f4e20be"
"2024-03-31","12","international","1","puntacana-27ce381bef"
"2024-03-31","12","international","2","contigo-0937d7804b"
"2024-03-31","12","international","3","vocation-a1301068d1"
"2024-03-31","12","international","4","plis-f1de299425"
"2024-03-31","12","international","5","otranochemas-c3b92c54c5"
"2024-03-31","12","international","6","lafuerte-97999605bd"
"2024-03-31","12","international","7","trainingseason-80ba3e9377"
"2024-03-31","12","international","8","yesand-a3e85abb02"
"2024-03-31","12","international","9","whatever-32f8c484a3"
"2024-03-31","12","international","10","cantgetenough-871400f78e"
"2024-04-07","13","national","1","lavidaesbuena-e8b327aa2c"
"2024-04-07","13","national","2","tedigoadioscumbia-7a0cc06fea"
"2024-04-07","13","national","3","elamorqueespere-86e71a5cbb"
"2024-04-07","13","national","4","dilealamor-563b60e9a8"
"2024-04-07","13","national","5","losbesosquetedi-f1fa430ac3"
"2024-04-07","13","national","6","unacopiademi-874f23c606"
"2024-04-07","13","national","7","lachicadelescenario-2180b97d75"
"2024-04-07","13","national","8","fueculpadeusted-94bf8fc961"
"2024-04-07","13","national","9","lamanodeorula-d113d28c2e"
"2024-04-07","13","national","10","noteinstales-0c505ecf21"
"2024-04-07","13","international","1","puntacana-27ce381bef"
"2024-04-07","13","international","2","contigo-0937d7804b"
"2024-04-07","13","international","3","vocation-a1301068d1"
"2024-04-07","13","international","4","luna-3eac47e0df"
"2024-04-07","13","international","5","lafuerte-97999605bd"
"2024-04-07","13","international","6","plis-f1de299425"
"2024-04-07","13","international","7","trainingseason-80ba3e9377"
"2024-04-07","13","international","8","punteria-1ef0e937a3"
"2024-04-07","13","international","9","yesand-a3e85abb02"
"2024-04-07","13","international","10","doctorworkitout-428bd0cf68"
"2024-04-14","14","national","1","lavidaesbuena-e8b327aa2c"
