"date","number","category","rank","songId"
"2024-08-25","29","national","1","catalina-3a0e88846e"
"2024-08-25","29","national","2","silencioremix-df7b7a94c2"
"2024-08-25","29","national","3","lalampara-19a4848639"
"2024-08-25","29","national","4","elwhatsapp-7a05174f95"
"2024-08-25","29","national","5","noteinstales-0c505ecf21"
"2024-08-25","29","national","6","lacalentura-e7cb98c0ca"
"2024-08-25","29","national","7","lapersonacorrecta-8daadc1bc1"
"2024-08-25","29","national","8","dilealamor-563b60e9a8"
"2024-08-25","29","national","9","fiestando-faff8dfb4b"
"2024-08-25","29","national","10","elamorqueespere-86e71a5cbb"
"2024-08-25","29","international","1","espresso-850bade631"
"2024-08-25","29","international","2","siantestehubieraconocido-a684e71094"
"2024-08-25","29","international","3","luna-3eac47e0df"
"2024-08-25","29","international","4","salvame-5fdc541db8"
"2024-08-25","29","international","5","touchingthesky-93fc355bcf"
"2024-08-25","29","international","6","illusion-b2810a35a4"
"2024-08-25","29","international","7","outsideoflove-7f7d6b8292"
"2024-08-25","29","international","8","holaperdidaremix-955c118019"
"2024-08-25","29","international","9","alibi-5144249763"
"2024-08-25","29","international","10","womansworld-d97203be69"
