"date","number","category","rank","songId"
"2024-12-01","37","national","1","losbesosquetedi-f1fa430ac3"
"2024-12-01","37","national","2","catalina-3a0e88846e"
"2024-12-01","37","national","3","silencioremix-df7b7a94c2"
"2024-12-01","37","national","4","lavidabailando-82797dc147"
"2024-12-01","37","national","5","fiestando-faff8dfb4b"
"2024-12-01","37","national","6","lapersonacorrecta-8daadc1bc1"
"2024-12-01","37","national","7","asicomoyo-0146c89ab8"
"2024-12-01","37","national","8","todoelmundobailando-c00363a787"
"2024-12-01","37","national","9","lalampara-19a4848639"
"2024-12-01","37","national","10","elwhatsapp-7a05174f95"
"2024-12-01","37","international","1","lifetimes-d3b5643c3f"
"2024-12-01","37","international","2","illusion-b2810a35a4"
"2024-12-01","37","international","3","ohnana-e092d936f3"
"2024-12-01","37","international","4","necessito-0aa1136034"
"2024-12-01","37","international","5","enhorabuena-9681e08a8b"
"2024-12-01","37","international","6","soltera-af2453ae86"
"2024-12-01","37","international","7","siantestehubieraconocido-a684e71094"
"2024-12-01","37","international","8","diewithasmile-48d8a6a8fc"
"2024-12-01","37","international","9","comolaflor-01eb8b9e16"
"2024-12-01","37","international","10","santa-9ad744ba52"
