"date","number","category","rank","songId"
"2024-08-11","27","national","1","catalina-3a0e88846e"
"2024-08-11","27","national","2","silencioremix-df7b7a94c2"
"2024-08-11","27","national","3","noteinstales-0c505ecf21"
"2024-08-11","27","national","4","elwhatsapp-7a05174f95"
"2024-08-11","27","national","5","lalampara-19a4848639"
"2024-08-11","27","national","6","elamorqueespere-86e71a5cbb"
"2024-08-11","27","national","7","dilealamor-563b60e9a8"
"2024-08-11","27","national","8","lacalentura-e7cb98c0ca"
"2024-08-11","27","national","9","fuerafuera-7146038232"
"2024-08-11","27","national","10","cuentale-8216aa7188"
"2024-08-11","27","international","1","espresso-850bade631"
"2024-08-11","27","international","2","touchingthesky-93fc355bcf"
"2024-08-11","27","international","3","salvame-5fdc541db8"
"2024-08-11","27","international","4","siantestehubieraconocido-a684e71094"
"2024-08-11","27","international","5","fortnightcyrilremix-227943921e"
"2024-08-11","27","international","6","illusion-b2810a35a4"
"2024-08-11","27","international","7","luna-3eac47e0df"
"2024-08-11","27","international","8","outsideoflove-7f7d6b8292"
"2024-08-11","27","international","9","punteria-1ef0e937a3"
"2024-08-11","27","international","10","aleale-0b7563c0ba"
