"date","number","category","rank","songId"
"2024-11-10","35","national","1","catalina-3a0e88846e"
"2024-11-10","35","national","2","silencioremix-df7b7a94c2"
"2024-11-10","35","national","3","losbesosquetedi-f1fa430ac3"
"2024-11-10","35","national","4","lapersonacorrecta-8daadc1bc1"
"2024-11-10","35","national","5","lavidabailando-82797dc147"
"2024-11-10","35","national","6","fiestando-faff8dfb4b"
"2024-11-10","35","national","7","lalampara-19a4848639"
"2024-11-10","35","national","8","asicomoyo-0146c89ab8"
"2024-11-10","35","national","9","elwhatsapp-7a05174f95"
"2024-11-10","35","national","10","lacalentura-e7cb98c0ca"
"2024-11-10","35","international","1","illusion-b2810a35a4"
"2024-11-10","35","international","2","lifetimes-d3b5643c3f"
"2024-11-10","35","international","3","siantestehubieraconocido-a684e71094"
"2024-11-10","35","international","4","ohnana-e092d936f3"
"2024-11-10","35","international","5","espresso-850bade631"
"2024-11-10","35","international","6","enhorabuena-9681e08a8b"
"2024-11-10","35","international","7","necessito-0aa1136034"
"2024-11-10","35","international","8","comolaflor-01eb8b9e16"
"2024-11-10","35","international","9","soltera-af2453ae86"
"2024-11-10","35","international","10","luna-3eac47e0df"
