"date","number","category","rank","songId"
"2024-12-22","39","national","1","losbesosquetedi-f1fa430ac3"
"2024-12-22","39","national","2","catalina-3a0e88846e"
"2024-12-22","39","national","3","lavidabailando-82797dc147"
"2024-12-22","39","national","4","todoelmundobailando-c00363a787"
"2024-12-22","39","national","5","silencioremix-df7b7a94c2"
"2024-12-22","39","national","6","asicomoyo-0146c89ab8"
"2024-12-22","39","national","7","fiestando-faff8dfb4b"
"2024-12-22","39","national","8","lapersonacorrecta-8daadc1bc1"
"2024-12-22","39","national","9","yojala-0d25f869e9"
"2024-12-22","39","national","10","bailandosuave-3b016b3ed0"
"2024-12-22","39","international","1","lifetimes-d3b5643c3f"
"2024-12-22","39","international","2","ohnana-e092d936f3"
"2024-12-22","39","international","3","soltera-af2453ae86"
"2024-12-22","39","international","4","necessito-0aa1136034"
"2024-12-22","39","international","5","apt-aa4359c93f"
"2024-12-22","39","international","6","caritatriste-b08e70e7e1"
"2024-12-22","39","international","7","enhorabuena-9681e08a8b"
"2024-12-22","39","international","8","diewithasmile-48d8a6a8fc"
"2024-12-22","39","international","9","uwaie-85b324d262"
"2024-12-22","39","international","10","illusion-b2810a35a4"
