"date","number","category","rank","songId"
"2024-11-17","36","national","1","catalina-3a0e88846e"
"2024-11-17","36","national","2","losbesosquetedi-f1fa430ac3"
"2024-11-17","36","national","3","silencioremix-df7b7a94c2"
"2024-11-17","36","national","4","lavidabailando-82797dc147"
"2024-11-17","36","national","5","lapersonacorrecta-8daadc1bc1"
"2024-11-17","36","national","6","fiestando-faff8dfb4b"
"2024-11-17","36","national","7","asicomoyo-0146c89ab8"
"2024-11-17","36","national","8","lalampara-19a4848639"
"2024-11-17","36","national","9","elwhatsapp-7a05174f95"
"2024-11-17","36","national","10","todoelmundobailando-c00363a787"
"2024-11-17","36","international","1","illusion-b2810a35a4"
"2024-11-17","36","international","2","lifetimes-d3b5643c3f"
"2024-11-17","36","international","3","ohnana-e092d936f3"
"2024-11-17","36","international","4","siantestehubieraconocido-a684e71094"
"2024-11-17","36","international","5","enhorabuena-9681e08a8b"
"2024-11-17","36","international","6","necessito-0aa1136034"
"2024-11-17","36","international","7","comolaflor-01eb8b9e16"
"2024-11-17","36","international","8","soltera-af2453ae86"
"2024-11-17","36","international","9","espresso-850bade631"
"2024-11-17","36","international","10","santa-9ad744ba52"
