"date","number","category","rank","songId"
"2026-07-05","25","national","1","farandula-cf2bfc3eb2"
"2026-07-05","25","national","2","tutienesalgo-f736eae719"
"2026-07-05","25","national","3","cualquierasalsaversion-35bbdc0b45"
"2026-07-05","25","national","4","cumbiadelosamigos-bdfca40685"
"2026-07-05","25","national","5","nadiecomotu-5461ce5be2"
"2026-07-05","25","national","6","sinti-b5cf6d0f05"
"2026-07-05","25","national","7","elchiquitico-b9b4ac9465"
"2026-07-05","25","national","8","voyami-b10b5a2806"
"2026-07-05","25","national","9","enotravidacomoesta-e106965a3a"
"2026-07-05","25","national","10","sinofueraporti-650a0054d2"
"2026-07-05","25","international","1","lovepatinohay-1c6dfaf245"
"2026-07-05","25","international","2","comenzardenuevo-112540cc75"
"2026-07-05","25","international","3","daidai-bce248570a"
"2026-07-05","25","international","4","dandovueltas-61ea5b6f1f"
"2026-07-05","25","international","5","enemigos-2ec35ea6eb"
"2026-07-05","25","international","6","disculpemesenor-a3dec0c6bf"
"2026-07-05","25","international","7","amorbonito-6a6df413a4"
"2026-07-05","25","international","8","unica-2c69f9590f"
"2026-07-05","25","international","9","tehacenfaltados-39cb9c7329"
"2026-07-05","25","international","10","algotu-79819abf32"
