"date","number","category","rank","songId"
"2026-07-12","26","national","1","tutienesalgo-f736eae719"
"2026-07-12","26","national","2","farandula-cf2bfc3eb2"
"2026-07-12","26","national","3","sinti-b5cf6d0f05"
"2026-07-12","26","national","4","cualquierasalsaversion-35bbdc0b45"
"2026-07-12","26","national","5","elchiquitico-b9b4ac9465"
"2026-07-12","26","national","6","cumbiadelosamigos-bdfca40685"
"2026-07-12","26","national","7","nadiecomotu-5461ce5be2"
"2026-07-12","26","national","8","sinofueraporti-650a0054d2"
"2026-07-12","26","national","9","voyami-b10b5a2806"
"2026-07-12","26","national","10","enotravidacomoesta-e106965a3a"
"2026-07-12","26","international","1","daidai-bce248570a"
"2026-07-12","26","international","2","lovepatinohay-1c6dfaf245"
"2026-07-12","26","international","3","comenzardenuevo-112540cc75"
"2026-07-12","26","international","4","dandovueltas-61ea5b6f1f"
"2026-07-12","26","international","5","tehacenfaltados-39cb9c7329"
"2026-07-12","26","international","6","amorbonito-6a6df413a4"
"2026-07-12","26","international","7","enemigos-2ec35ea6eb"
"2026-07-12","26","international","8","disculpemesenor-a3dec0c6bf"
"2026-07-12","26","international","9","antesqueeltiemposevaya-581f5f1a29"
"2026-07-12","26","international","10","savemetonight-57c69ff712"
