"date","number","category","rank","songId"
"2026-06-14","22","national","1","cualquierasalsaversion-35bbdc0b45"
"2026-06-14","22","national","2","nadiecomotu-5461ce5be2"
"2026-06-14","22","national","3","farandula-cf2bfc3eb2"
"2026-06-14","22","national","4","voyami-b10b5a2806"
"2026-06-14","22","national","5","tutienesalgo-f736eae719"
"2026-06-14","22","national","6","meequivoquecontigo-c185e06ee0"
"2026-06-14","22","national","7","cumbiadelosamigos-bdfca40685"
"2026-06-14","22","national","8","enotravidacomoesta-e106965a3a"
"2026-06-14","22","national","9","esebesito-43c3ba862c"
"2026-06-14","22","national","10","sinti-b5cf6d0f05"
"2026-06-14","22","international","1","lovepatinohay-1c6dfaf245"
"2026-06-14","22","international","2","enemigos-2ec35ea6eb"
"2026-06-14","22","international","3","unica-2c69f9590f"
"2026-06-14","22","international","4","comenzardenuevo-112540cc75"
"2026-06-14","22","international","5","algotu-79819abf32"
"2026-06-14","22","international","6","disculpemesenor-a3dec0c6bf"
"2026-06-14","22","international","7","regalito-e2fa90eb90"
"2026-06-14","22","international","8","yapaque-95f29db7eb"
"2026-06-14","22","international","9","daidai-bce248570a"
"2026-06-14","22","international","10","dandovueltas-61ea5b6f1f"
