"date","number","category","rank","songId"
"2026-02-08","4","national","1","unacosita-458b24d76d"
"2026-02-08","4","national","2","chaochaito-d8bf7e7644"
"2026-02-08","4","national","3","comonadie-cc168e1b76"
"2026-02-08","4","national","4","salvavidas-df979696ed"
"2026-02-08","4","national","5","magia-0cfd9bf9b7"
"2026-02-08","4","national","6","lastory-2b8e4dc5a3"
"2026-02-08","4","national","7","patodalavida-b83f9a5b3b"
"2026-02-08","4","national","8","miprioridad-7e3f504ac5"
"2026-02-08","4","national","9","sinmiedo-68d241f95a"
"2026-02-08","4","national","10","mananateolvido-fd0e38bcef"
"2026-02-08","4","international","1","besitoenlafrente-6e3478d6f1"
"2026-02-08","4","international","2","mirameahora-3075c509d1"
"2026-02-08","4","international","3","bzrpmusicsessionsvol66-8732f5859a"
"2026-02-08","4","international","4","golden-53fc8a5c44"
"2026-02-08","4","international","5","thefateofophelia-5a1b58dd4e"
"2026-02-08","4","international","6","cositalinda-c97d0ed8fa"
"2026-02-08","4","international","7","temporal-566773360c"
"2026-02-08","4","international","8","dembow-e7c0653837"
"2026-02-08","4","international","9","amediovivir-cfcb991751"
"2026-02-08","4","international","10","notienesentido-7ac99e1f15"
