"date","number","category","rank","songId"
"2026-05-03","16","national","1","nadiecomotu-5461ce5be2"
"2026-05-03","16","national","2","esebesito-43c3ba862c"
"2026-05-03","16","national","3","meequivoquecontigo-c185e06ee0"
"2026-05-03","16","national","4","magia-0cfd9bf9b7"
"2026-05-03","16","national","5","cualquierasalsaversion-35bbdc0b45"
"2026-05-03","16","national","6","comonadie-cc168e1b76"
"2026-05-03","16","national","7","mundoloco-9f46f12184"
"2026-05-03","16","national","8","reinadecorazones-719bab0ec6"
"2026-05-03","16","national","9","farandula-cf2bfc3eb2"
"2026-05-03","16","national","10","unacosita-458b24d76d"
"2026-05-03","16","international","1","algotu-79819abf32"
"2026-05-03","16","international","2","11-b1ab50f6bd"
"2026-05-03","16","international","3","bzrpmusicsessionsvol66-8732f5859a"
"2026-05-03","16","international","4","unica-2c69f9590f"
"2026-05-03","16","international","5","cambiare-d875320356"
"2026-05-03","16","international","6","lovepatinohay-1c6dfaf245"
"2026-05-03","16","international","7","enemigos-2ec35ea6eb"
"2026-05-03","16","international","8","ijustmight-3b4db880da"
"2026-05-03","16","international","9","thefateofophelia-5a1b58dd4e"
"2026-05-03","16","international","10","comoenelidilio-de1af4f95a"
