"date","number","category","rank","songId"
"2026-03-01","7","national","1","comonadie-cc168e1b76"
"2026-03-01","7","national","2","unacosita-458b24d76d"
"2026-03-01","7","national","3","magia-0cfd9bf9b7"
"2026-03-01","7","national","4","lastory-2b8e4dc5a3"
"2026-03-01","7","national","5","chaochaito-d8bf7e7644"
"2026-03-01","7","national","6","nadiecomotu-5461ce5be2"
"2026-03-01","7","national","7","salvavidas-df979696ed"
"2026-03-01","7","national","8","patodalavida-b83f9a5b3b"
"2026-03-01","7","national","9","miprioridad-7e3f504ac5"
"2026-03-01","7","national","10","yotevoyaamar-2b0af500fa"
"2026-03-01","7","international","1","bzrpmusicsessionsvol66-8732f5859a"
"2026-03-01","7","international","2","cambiare-d875320356"
"2026-03-01","7","international","3","besitoenlafrente-6e3478d6f1"
"2026-03-01","7","international","4","thefateofophelia-5a1b58dd4e"
"2026-03-01","7","international","5","mirameahora-3075c509d1"
"2026-03-01","7","international","6","cositalinda-c97d0ed8fa"
"2026-03-01","7","international","7","gonegonegone-7498869b0d"
"2026-03-01","7","international","8","ijustmight-3b4db880da"
"2026-03-01","7","international","9","algotu-79819abf32"
"2026-03-01","7","international","10","unica-2c69f9590f"
