"date","number","category","rank","songId"
"2026-06-28","24","national","1","farandula-cf2bfc3eb2"
"2026-06-28","24","national","2","cualquierasalsaversion-35bbdc0b45"
"2026-06-28","24","national","3","tutienesalgo-f736eae719"
"2026-06-28","24","national","4","nadiecomotu-5461ce5be2"
"2026-06-28","24","national","5","cumbiadelosamigos-bdfca40685"
"2026-06-28","24","national","6","voyami-b10b5a2806"
"2026-06-28","24","national","7","sinti-b5cf6d0f05"
"2026-06-28","24","national","8","enotravidacomoesta-e106965a3a"
"2026-06-28","24","national","9","elchiquitico-b9b4ac9465"
"2026-06-28","24","national","10","meequivoquecontigo-c185e06ee0"
"2026-06-28","24","international","1","lovepatinohay-1c6dfaf245"
"2026-06-28","24","international","2","comenzardenuevo-112540cc75"
"2026-06-28","24","international","3","enemigos-2ec35ea6eb"
"2026-06-28","24","international","4","disculpemesenor-a3dec0c6bf"
"2026-06-28","24","international","5","daidai-bce248570a"
"2026-06-28","24","international","6","amorbonito-6a6df413a4"
"2026-06-28","24","international","7","unica-2c69f9590f"
"2026-06-28","24","international","8","dandovueltas-61ea5b6f1f"
"2026-06-28","24","international","9","algotu-79819abf32"
"2026-06-28","24","international","10","yapaque-95f29db7eb"
