"date","number","category","rank","songId"
"2026-06-21","23","national","1","cualquierasalsaversion-35bbdc0b45"
"2026-06-21","23","national","2","farandula-cf2bfc3eb2"
"2026-06-21","23","national","3","nadiecomotu-5461ce5be2"
"2026-06-21","23","national","4","tutienesalgo-f736eae719"
"2026-06-21","23","national","5","voyami-b10b5a2806"
"2026-06-21","23","national","6","cumbiadelosamigos-bdfca40685"
"2026-06-21","23","national","7","enotravidacomoesta-e106965a3a"
"2026-06-21","23","national","8","sinti-b5cf6d0f05"
"2026-06-21","23","national","9","meequivoquecontigo-c185e06ee0"
"2026-06-21","23","national","10","esebesito-43c3ba862c"
"2026-06-21","23","international","1","lovepatinohay-1c6dfaf245"
"2026-06-21","23","international","2","enemigos-2ec35ea6eb"
"2026-06-21","23","international","3","comenzardenuevo-112540cc75"
"2026-06-21","23","international","4","disculpemesenor-a3dec0c6bf"
"2026-06-21","23","international","5","unica-2c69f9590f"
"2026-06-21","23","international","6","algotu-79819abf32"
"2026-06-21","23","international","7","yapaque-95f29db7eb"
"2026-06-21","23","international","8","daidai-bce248570a"
"2026-06-21","23","international","9","dandovueltas-61ea5b6f1f"
"2026-06-21","23","international","10","amorbonito-6a6df413a4"
