"date","number","category","rank","songId"
"2026-02-15","5","national","1","unacosita-458b24d76d"
"2026-02-15","5","national","2","comonadie-cc168e1b76"
"2026-02-15","5","national","3","chaochaito-d8bf7e7644"
"2026-02-15","5","national","4","magia-0cfd9bf9b7"
"2026-02-15","5","national","5","salvavidas-df979696ed"
"2026-02-15","5","national","6","lastory-2b8e4dc5a3"
"2026-02-15","5","national","7","patodalavida-b83f9a5b3b"
"2026-02-15","5","national","8","miprioridad-7e3f504ac5"
"2026-02-15","5","national","9","sinmiedo-68d241f95a"
"2026-02-15","5","national","10","nadiecomotu-5461ce5be2"
"2026-02-15","5","international","1","besitoenlafrente-6e3478d6f1"
"2026-02-15","5","international","2","bzrpmusicsessionsvol66-8732f5859a"
"2026-02-15","5","international","3","mirameahora-3075c509d1"
"2026-02-15","5","international","4","thefateofophelia-5a1b58dd4e"
"2026-02-15","5","international","5","cositalinda-c97d0ed8fa"
"2026-02-15","5","international","6","golden-53fc8a5c44"
"2026-02-15","5","international","7","temporal-566773360c"
"2026-02-15","5","international","8","cambiare-d875320356"
"2026-02-15","5","international","9","dembow-e7c0653837"
"2026-02-15","5","international","10","ijustmight-3b4db880da"
