"date","number","category","rank","songId"
"2026-01-25","2","national","1","chaochaito-d8bf7e7644"
"2026-01-25","2","national","2","unacosita-458b24d76d"
"2026-01-25","2","national","3","comonadie-cc168e1b76"
"2026-01-25","2","national","4","salvavidas-df979696ed"
"2026-01-25","2","national","5","sinmiedo-68d241f95a"
"2026-01-25","2","national","6","patodalavida-b83f9a5b3b"
"2026-01-25","2","national","7","mananateolvido-fd0e38bcef"
"2026-01-25","2","national","8","amante-738a8171be"
"2026-01-25","2","national","9","vibras-f5616bb528"
"2026-01-25","2","national","10","quehago-96015e81a0"
"2026-01-25","2","international","1","besitoenlafrente-6e3478d6f1"
"2026-01-25","2","international","2","golden-53fc8a5c44"
"2026-01-25","2","international","3","mirameahora-3075c509d1"
"2026-01-25","2","international","4","bzrpmusicsessionsvol66-8732f5859a"
"2026-01-25","2","international","5","cositalinda-c97d0ed8fa"
"2026-01-25","2","international","6","thefateofophelia-5a1b58dd4e"
"2026-01-25","2","international","7","notienesentido-7ac99e1f15"
"2026-01-25","2","international","8","temporal-566773360c"
"2026-01-25","2","international","9","amediovivir-cfcb991751"
"2026-01-25","2","international","10","luna-3464cc2f4b"
