"date","number","category","rank","songId"
"2026-08-16","31","national","1","elchiquitico-b9b4ac9465"
"2026-08-16","31","national","2","sinofueraporti-650a0054d2"
"2026-08-16","31","national","3","tutienesalgo-f736eae719"
"2026-08-16","31","national","4","nohepodidoolvidarte-8a65d99de0"
"2026-08-16","31","national","5","namore-a9143f5cf2"
"2026-08-16","31","national","6","cogelosuave-2141857326"
"2026-08-16","31","national","7","farandula-cf2bfc3eb2"
"2026-08-16","31","national","8","sinti-b5cf6d0f05"
"2026-08-16","31","national","9","eldoctorado-76d58b8d11"
"2026-08-16","31","national","10","vuelvoaseryo-7603b2a16b"
"2026-08-16","31","international","1","tehacenfaltados-39cb9c7329"
"2026-08-16","31","international","2","antesqueeltiemposevaya-581f5f1a29"
"2026-08-16","31","international","3","savemetonight-57c69ff712"
"2026-08-16","31","international","4","chevere-127f7d0fe4"
"2026-08-16","31","international","5","unanamas-dacddd8a79"
"2026-08-16","31","international","6","bringyourlove-3e36d7d001"
"2026-08-16","31","international","7","daidai-bce248570a"
"2026-08-16","31","international","8","patitoa3-d542f2e175"
"2026-08-16","31","international","9","dalmation-ec0a1e6f39"
"2026-08-16","31","international","10","efectossecundarios-be86986c97"
