"date","number","category","rank","songId"
"2026-04-26","15","national","1","nadiecomotu-5461ce5be2"
"2026-04-26","15","national","2","magia-0cfd9bf9b7"
"2026-04-26","15","national","3","esebesito-43c3ba862c"
"2026-04-26","15","national","4","meequivoquecontigo-c185e06ee0"
"2026-04-26","15","national","5","comonadie-cc168e1b76"
"2026-04-26","15","national","6","cualquierasalsaversion-35bbdc0b45"
"2026-04-26","15","national","7","reinadecorazones-719bab0ec6"
"2026-04-26","15","national","8","mundoloco-9f46f12184"
"2026-04-26","15","national","9","unacosita-458b24d76d"
"2026-04-26","15","national","10","sonriemujer-9ba2a53ad4"
"2026-04-26","15","international","1","algotu-79819abf32"
"2026-04-26","15","international","2","bzrpmusicsessionsvol66-8732f5859a"
"2026-04-26","15","international","3","11-b1ab50f6bd"
"2026-04-26","15","international","4","cambiare-d875320356"
"2026-04-26","15","international","5","unica-2c69f9590f"
"2026-04-26","15","international","6","ijustmight-3b4db880da"
"2026-04-26","15","international","7","lovepatinohay-1c6dfaf245"
"2026-04-26","15","international","8","thefateofophelia-5a1b58dd4e"
"2026-04-26","15","international","9","enemigos-2ec35ea6eb"
"2026-04-26","15","international","10","dardos-1a820a379a"
